32,"Who Do You Think Is Ishiyama's Strongest?",298071938,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 21 [720p].mkv"
33,"Secluded Mountain Training",297988292,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 22 [720p].mkv"
34,"You Kidding Me? The Demon World",298475314,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 23 [720p].mkv"
35,"Welcome Back, Demon World!",349383244,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 24 [720p].mkv"
36,"The New Term Has Started",349130331,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 25 [720p].mkv"
37,"Called the Magical Girl",349486051,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 27 [720p].mkv"
38,"Let's All Get Physicals",297981268,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 28 [720p].mkv"
39,"What Are the 6 Holy Knights?",349865177,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 29 [720p].mkv"
40,"Who are the Six Holy Knights?",298406914,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 30 [720p].mkv"
41,"No Conclusion Was Reached!",298488938,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 31 [720p].mkv"
42,"What Has the Transfer Girl Done?",298372806,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 32 [720p].mkv"
43,"There Are Wounds in the Past",298242129,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 33 [720p].mkv"
44,"Maids Run Amok",349485561,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 34 [720p].mkv"
45,"Time for the Game to Begin!",298040524,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 35 [720p].mkv"
46,"Finally, the Deciding Battle!",298712534,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 36 [720p].mkv"
47,"That Man Was a Teacher!",297465918,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 37 [720p].mkv"
48,"The Sibling Rivalry Has Begun",297410661,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 38 [720p].mkv"
49,"His Brother Was a Crybaby",298487664,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 39 [720p].mkv"
50,"No Shirt, No Shoes, No Assassins",298134846,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 40 [720p].mkv"
51,"On the Brink! What'll We Do?",298222637,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 41 [720p].mkv"
52,"It's Time for Training!",298543788,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 42 [720p].mkv"
53,"Where Might My Brother Have Disappeared to?",349733893,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 43 [720p].mkv"
54,"I Must Become Stronger",298464652,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 44 [720p].mkv"
55,"Play Games at Most One Hour a Day",297611577,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 45 [720p].mkv"
56,"Super Burning Combination",297628504,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 46 [720p].mkv"
57,"Sorry to Have Kept You Waiting",297059139,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 47 [720p].mkv"
58,"I am the Parent!",298590137,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 48 [720p].mkv"
59,"Beelzebub's New Year's Special! Beelbeel Journey to the West!",349314697,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 49 [720p].mkv"
60,"Today I'm Different on the Inside",349064044,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 50 [720p].mkv"
61,"Komainu-sama is Watching You",348935044,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 51 [720p].mkv"
62,"And Then There Were No Delinquents",349792302,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 52 [720p].mkv"
63,"Baby Beel's First Conquest / Furuichi Falls in Love",349922509,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 53 [720p].mkv"
64,"Black Baby Beel Grows Up!",349203761,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 54 [720p].mkv"
65,"I Have Lost My Pompadour / The Great Demon Lord Has Come",349347164,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 55 [720p].mkv"
66,"Are You a Traitor? / Is This a Job for Men?",349002309,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 56 [720p].mkv"
67,"Won't You Eat a Manju? / Won't You Get in a Mixed Bath?",349385679,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 57 [720p].mkv"
68,"Akumano Academy is Open!",350259702,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 58 [720p].mkv"
69,"We're the Strongest!",349811558,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 59 [720p].mkv"
70,"I Won't Say Goodbye",342502392,Japanese,"/data/Shows/[HorribleSubs] Beelzebub (01-60) [720p]/[HorribleSubs] Beelzebub - 60 [720p].mkv"
71,"I Think About Others",273895163,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E01.mkv"
72,"Melody of Despair",252520371,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E02.mkv"
73,"Love and Flame",255658679,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E03.mkv"
74,"Moment of Earnest",310515154,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E04.mkv"
75,"The Sound You Heard Sometime",314952087,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E05.mkv"
76,"Happiness You Did Not Notice",260528615,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E06.mkv"
77,"The End of the Exodus",239714335,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E07.mkv"
78,Encounter,273190885,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E08.mkv"
79,"The World that is No Longer Here",265280091,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E09.mkv"
80,Plunder,216616955,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E10.mkv"
81,Charlotte,256246673,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E11.mkv"
82,Promise,213860359,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E12.mkv"
83,"Memories to Come",281570556,Japanese,"/data/Shows/[HR] Charlotte S01 (2015) [BluRay 1080p HEVC OPUS] HR-SH/[HR] Charlotte S01E13.mkv"
84,"The Summoning of Heroes",408604512,Japanese,"/data/Shows/[UTW] Fate Zero - 01-13 + Specials [BD][h264-1080p_FLAC]/[UTW]_Fate_Zero_-_Einzbern_Consultation_Room_Special_-_01_[BD][h264-1080p_FLAC][067771E8].mkv"
85,"I Traveled Back in Time?!",1443938424,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/I Traveled Back in Time!! | S01E01 | HDTV-1080p.mkv"
86,"Let’s Make Bishojo Games Together!",1442026916,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/16bit Sensation - Another Layer - S01E02 - Let’s Make Bishojo Games Together! WEBDL-1080p.mkv"
87,"I Wanted to See All of You Again!",1446105236,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/I Wanted to See All of You Again! | S01E03 | HDTV-1080p.mkv"
88,"It's Fine!",1442085690,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/16bit Sensation - Another Layer - S01E04 - It's Fine! WEBDL-1080p.mkv"
89,"Good Things Come in Threes!",1441867055,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/Good Things Come in Threes! | S01E05 | HDTV-1080p.mkv"
90,"Believe in Me!",470209423,Chinese,"/data/Shows/16bit Sensation - Another Layer/Season 1/16bit Sensation - Another Layer - S01E06 - Believe in Me! WEBRip-1080p.mp4"
91,"Every Storm Hardens the Earth",1437507355,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/Every Storm Hardens the Earth | S01E07 | HDTV-1080p.mkv"
92,Echo,944913936,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/Echo | S01E08 | WEBDL-1080p.mkv"
93,"See You Later!",1437038749,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/16bit Sensation - Another Layer - S01E09 - See You Later! WEBDL-1080p.mkv"
94,"Original Cuu",1438276874,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/16bit Sensation - Another Layer - S01E11 - Original Cuu WEBDL-1080p.mkv"
95,"U... U-U-U-U-U...",729905905,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/16bit Sensation - Another Layer - S01E12 - U. U-U-U-U-U WEBDL-720p.mkv"
96,"The Things I Hold Dear",679101973,Japanese,"/data/Shows/16bit Sensation - Another Layer/Season 1/16bit Sensation - Another Layer - S01E13 - The Things I Hold Dear WEBDL-1080p.mkv"
97,"The Fiancé Who Killed Me",1454542307,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E01 - The Fiancé Who Killed Me WEBDL-1080p.mkv"
98,"The Golden Imperial Capital",1446551186,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E02 - The Golden Imperial Capital WEBDL-1080p.mkv"
99,"A Thinly Veiled Sword Dance (Rondo)",1447684845,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E03 - A Thinly Veiled Sword Dance (Rondo) WEBDL-1080p.mkv"
100,"Turning the Knave Into a Secret Spice",1446784971,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E04 - Turning the Knave Into a Secret Spice WEBDL-1080p.mkv"
101,"Another Kind of Trade",448401021,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E05 - Another Kind of Trade WEBRip-1080p.mkv"
102,"The Only One in the World",1454324125,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E06 - The Only One in the World HDTV-1080p.mkv"
103,"A Lullaby Like the Beat of a Heart",1457714705,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E07 - A Lullaby Like the Beat of a Heart HDTV-1080p.mkv"
104,"The Color of the Sea Beyond the Horizon",1895725260,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E08 - The Color of the Sea Beyond the Horizon HDTV-1080p.ts"
105,"Visitor From the North",1450986901,Japanese,"/data/Shows/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!/Season 1/7th Time Loop - The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - S01E09 - Visitor From the North HDTV-1080p.mkv"
